종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스 ","35000","-1450","-3.98","2732","12.81",,,"23715","1.48","0","0.00"
"068400","AJ렌터카 ","11700","50","0.43","860","13.60",,,"9426","1.24","0","0.00"
"006840","AK홀딩스 ","53900","600","1.13","5549","9.71",,,"42221","1.28","350","0.65"
"027410","BGF리테일 ","162500","-1000","-0.61","4238","38.34",,,"22686","7.16","600","0.37"
"138930","BNK금융지주 ","8610","-170","-1.94","3661","2.35",,,"19542","0.44","200","2.32"
"001460","BYC ","587000","1000","0.17","30221","19.42",,,"434980","1.35","800","0.14"
"001465","BYC우 ","241000","6000","2.55",,,,,,,"850","0.35"
"001040","CJ ","238000","4500","1.93","7375","32.27",,,"108643","2.19","950","0.40"
"079160","CJ CGV ","116500","5500","4.95","787","148.03",,,"18048","6.46","350","0.30"
"000120","CJ대한통운 ","195500","-2500","-1.26","2510","77.89",,,"98141","1.99","0","0.00"
"011150","CJ씨푸드 ","3470","55","1.61","91","38.13",,,"1310","2.65","0","0.00"
"011155","CJ씨푸드1우 ","18150","100","0.55",,,,,,,"0","0.00"
"001045","CJ우 ","115500","2500","2.21",,,,,,,"1000","0.87"
"097950","CJ제일제당 ","362000","1500","0.42","6530","55.44",,,"206344","1.75","2000","0.55"
"097955","CJ제일제당 우 ","213000","1000","0.47",,,,,,,"2050","0.96"
"037560","CJ헬로비전 ","11800","-150","-1.26","332","35.54",,,"11653","1.01","75","0.64"
"000590","CS홀딩스 ","76100","-900","-1.17","6412","11.87",,,"165649","0.46","0","0.00"
"139130","DGB금융지주 ","8300","-20","-0.24","1714","4.84",,,"21797","0.38","320","3.86"
"004840","DRB동일 ","12150","350","2.97","2261","5.37",,,"14251","0.85","60","0.49"
"155660","DSR ","3970","-35","-0.87","423","9.39",,,"6948","0.57","30","0.76"
"069730","DSR제강 ","3700","-20","-0.54","507","7.30",,,"7555","0.49","30","0.81"
"017940","E1 ","56200","-100","-0.18","7096","7.92",,,"166331","0.34","2000","3.56"
"007700","F&F ","13550","250","1.88","908","14.92",,,"12307","1.10","150","1.11"
"114090","GKL ","26150","300","1.16","1884","13.88",,,"6974","3.75","1002","3.83"
"078930","GS ","53000","-300","-0.56",,,,,"62374","0.85","1200","2.26"
"006360","GS건설 ","25100","-150","-0.59",,,,,"46070","0.54","0","0.00"
"001250","GS글로벌 ","4735","-40","-0.84","320","14.80",,,"11121","0.43","125","2.64"
"007070","GS리테일 ","51000","700","1.39","1445","35.29",,,"21838","2.34","600","1.18"
"078935","GS우 ","34500","250","0.73",,,,,,,"1250","3.62"
"001500","HMC투자증권 ","9710","100","1.04","225","43.16",,,"22972","0.42","150","1.54"
"003560","IHQ ","2045","145","7.63",,,,,"794","2.58","0","0.00"
"175330","JB금융지주 ","5340","190","3.69","5281","1.01",,,"14769","0.36","100","1.87"
"001060","JW중외제약 ","34350","50","0.15","40","858.75",,,"12840","2.68","125","0.36"
"001067","JW중외제약2우B ","34850","50","0.14",,,,,,,"125","0.36"
"001065","JW중외제약우 ","21950","-200","-0.90",,,,,,,"150","0.68"
"096760","JW홀딩스 ","8100","-40","-0.49",,,,,"1744","4.64","25","0.31"
"105560","KB금융 ","29700","-300","-1.00","3626","8.19",,,"70700","0.42","780","2.63"
"002550","KB손해보험 ","32250","1050","3.37","2686","12.01",,,"29141","1.11","500","1.55"
"002380","KCC ","426500","-11000","-2.51","33250","12.83",,,"589064","0.72","9000","2.11"
"009070","KCTC ","3500","60","1.74","555","6.31",,,"5438","0.64","30","0.86"
"009440","KC그린홀딩스 ","7390","20","0.27","111","66.58",,,"6479","1.14","50","0.68"
"119650","KC코트렐 ","5260","-80","-1.50",,,,,"6032","0.87","0","0.00"
"092220","KEC ","1080","35","3.35","89","12.13",,,"2490","0.43","0","0.00"
"109070","KGP ","1915","-190","-9.03",,,,,"275","6.96","0","0.00"
"001390","KG케미칼 ","14750","350","2.43","1275","11.57",,,"18227","0.81","350","2.37"
"001940","KISCO홀딩스 ","60100","-600","-0.99","1665","36.10",,,"177506","0.34","900","1.50"
"083420","KPX그린케미칼 ","3830","0","0.00","649","5.90",,,"5791","0.66","160","4.18"
"025000","KPX케미칼 ","47450","0","0.00","8243","5.76",,,"77767","0.61","1750","3.69"
"092230","KPX홀딩스 ","59200","-200","-0.34","6713","8.82",,,"127291","0.47","2100","3.55"
"000040","KR모터스 ","1140","-5","-0.44",,,,,"385","2.96","0","0.00"
"044450","KSS해운 ","17000","-550","-3.13","1815","9.37",,,"15902","1.07","200","1.18"
"030200","KT ","28900","-150","-0.52",,,,,"39604","0.73","0","0.00"
"033780","KT&G ","106500","-500","-0.47","6558","16.24",,,"41012","2.60","3400","3.19"
"030210","KTB투자증권 ","2845","-15","-0.52",,,,,"5330","0.53","0","0.00"
"058850","KTcs ","3030","35","1.17","334","9.07",,,"3357","0.90","120","3.96"
"093050","LF ","25050","200","0.80","2772","9.04",,,"33599","0.75","500","2.00"
"003550","LG ","71800","-100","-0.14","4804","14.95",,,"69664","1.03","1000","1.39"
"034220","LG디스플레이 ","24500","50","0.20","2527","9.70",,,"31948","0.77","500","2.04"
"001120","LG상사 ","33200","-150","-0.45",,,,,"36809","0.90","300","0.90"
"068870","LG생명과학 ","60900","-700","-1.14",,,,,"14817","4.11","0","0.00"
"068875","LG생명과학우 ","39400","0","0.00",,,,,,,"0","0.00"
"051900","LG생활건강 ","868000","3000","0.35","20842","41.65",,,"92417","9.39","4000","0.46"
"051905","LG생활건강우 ","468500","13000","2.85",,,,,,,"4050","0.86"
"003555","LG우 ","48050","-450","-0.93",,,,,,,"1050","2.19"
"032640","LG유플러스 ","10650","400","3.90","523","20.36",,,"9567","1.11","150","1.41"
"011070","LG이노텍 ","87200","1600","1.87","4761","18.32",,,"71681","1.22","250","0.29"
"066570","LG전자 ","64900","1200","1.88","2213","29.33",,,"64808","1.00","400","0.62"
"066575","LG전자우 ","35000","450","1.30",,,,,,,"450","1.29"
"108670","LG하우시스 ","121500","-1500","-1.22","6456","18.82",,,"82637","1.47","1800","1.48"
"108675","LG하우시스우 ","77600","0","0.00",,,,,,,"1850","2.38"
"051910","LG화학 ","300000","6500","2.21","11798","25.43",,,"164275","1.83","4000","1.33"
"051915","LG화학우 ","201000","-4000","-1.95",,,,,,,"4050","2.01"
"079550","LIG넥스원 ","115500","-2000","-1.70","2528","45.69",,,"17906","6.45","670","0.58"
"006260","LS ","41900","100","0.24","1620","25.86",,,"74691","0.56","1250","2.98"
"000680","LS네트웍스 ","3145","40","1.29","7","449.29",,,"9761","0.32","10","0.32"
"010120","LS산전 ","39100","0","0.00","3642","10.74",,,"33098","1.18","1300","3.32"
"023150","MH에탄올 ","8210","-160","-1.91",,,,,"7154","1.15","200","2.44"
"035420","NAVER ","572000","-8000","-1.38","15277","37.44",,,"54486","10.50","782","0.14"
"181710","NHN엔터테인먼트 ","54500","1500","2.83","3249","16.77",,,"64963","0.84","0","0.00"
"005940","NH투자증권 ","9780","190","1.98","388","25.21",,,"14550","0.67","160","1.64"
"005945","NH투자증권우 ","6120","70","1.16",,,,,,,"210","3.43"
"034310","NICE ","21350","350","1.67","848","25.18",,,"11795","1.81","110","0.52"
"008260","NI스틸 ","2495","0","0.00","186","13.41",,,"2552","0.98","50","2.00"
"004250","NPC ","7500","-160","-2.09","644","11.65",,,"4404","1.70","70","0.93"
"004255","NPC우 ","3380","0","0.00",,,,,,,"75","2.22"
"010060","OCI ","91300","3100","3.51",,,,,"116845","0.78","200","0.22"
"005490","POSCO ","198500","3000","1.53","7432","26.71",,,"476991","0.42","8000","4.03"
"100840","S&TC ","23350","-400","-1.68","1590","14.69",,,"29319","0.80","500","2.14"
"064960","S&T모티브 ","76900","-300","-0.39","4371","17.59",,,"40062","1.92","800","1.04"
"003570","S&T중공업 ","14350","200","1.41","85","168.82",,,"20149","0.71","100","0.70"
"036530","S&T홀딩스 ","29450","500","1.73","1941","15.17",,,"35949","0.82","200","0.68"
"010950","S-Oil ","79000","-1000","-1.25",,,,,"42100","1.88","150","0.19"
"010955","S-Oil우 ","46900","250","0.54",,,,,,,"175","0.37"
"034120","SBS ","29950","-200","-0.66",,,,,"29596","1.01","0","0.00"
"101060","SBS미디어홀딩스 ","3275","50","1.55","118","27.75",,,"4732","0.69","25","0.76"
"004060","SG세계물산 ","1130","-5","-0.44",,,,,"984","1.15","0","0.00"
"001380","SG충남방적 ","2360","135","6.07",,,,,"2984","0.79","0","0.00"
"002360","SH에너지화학 ","1405","-20","-1.40","147","9.56",,,"741","1.90","45","3.20"
"009160","SIMPAC ","5290","-90","-1.67","530","9.98",,,"7518","0.70","80","1.51"
"123700","SJM ","6920","30","0.44","1002","6.91",,,"8750","0.79","200","2.89"
"025530","SJM홀딩스 ","5340","40","0.75","612","8.73",,,"8382","0.64","200","3.75"
"034730","SK ","248000","-1500","-0.60","2891","85.78",,,"51709","4.80","2000","0.81"
"011790","SKC ","31100","-200","-0.64","1931","16.11",,,"33491","0.93","550","1.77"
"018670","SK가스 ","72200","0","0.00","11465","6.30",,,"134489","0.54","2000","2.77"
"001740","SK네트웍스 ","5960","20","0.34","127","46.93",,,"10172","0.59","100","1.68"
"001745","SK네트웍스우 ","45950","-250","-0.54",,,,,,,"125","0.27"
"03473K","SK우 ","145000","1000","0.69",,,,,,,"0","0.00"
"096770","SK이노베이션 ","145000","0","0.00",,,,,"160065","0.91","0","0.00"
"096775","SK이노베이션우 ","84900","-200","-0.24",,,,,,,"0","0.00"
"001510","SK증권 ","1070","40","3.88","11","97.27",,,"1187","0.90","0","0.00"
"001515","SK증권우 ","1785","5","0.28",,,,,,,"0","0.00"
"006120","SK케미칼 ","79900","100","0.13",,,,,"50551","1.58","300","0.38"
"006125","SK케미칼우 ","36850","1050","2.93",,,,,,,"350","0.95"
"017670","SK텔레콤 ","233500","6000","2.64","25154","9.28",,,"179660","1.30","9400","4.03"
"000660","SK하이닉스 ","30000","-800","-2.60","5842","5.14",,,"24775","1.21","300","1.00"
"011810","STX ","3050","60","2.01","15611","0.20",,,"3138","0.97","0","0.00"
"077970","STX엔진 ","7050","-110","-1.54",,,,,,,"0","0.00"
"071970","STX중공업 ","5010","-40","-0.79",,,,,,,"0","0.00"
"002710","TCC동양 ","2150","5","0.23",,,,,"9890","0.22","50","2.33"
"024070","WISCOM ","4360","-140","-3.11","367","11.88",,,"7908","0.55","250","5.73"
"037270","YG PLUS ","2705","-45","-1.64",,,,,"1823","1.48","0","0.00"
"000500","가온전선 ","19150","-150","-0.78",,,,,"63147","0.30","600","3.13"
"000860","강남제비스코 ","36700","500","1.38","5928","6.19",,,"61484","0.60","500","1.36"
"035250","강원랜드 ","41250","0","0.00","1772","23.28",,,"12644","3.26","850","2.06"
"011420","갤럭시아에스엠 ","3000","10","0.33",,,,,"1183","2.54","0","0.00"
"008020","경남에너지 ","9800","-40","-0.41","916","10.70",,,"8095","1.21","125","1.28"
"002100","경농 ","5050","0","0.00","435","11.61",,,"7443","0.68","220","4.36"
"012320","경동가스 ","77500","-1000","-1.27","20943","3.70",,,"159537","0.49","1250","1.61"
"009450","경동나비엔 ","30100","200","0.67","727","41.40",,,"14753","2.04","100","0.33"
"000050","경방 ","209000","500","0.24","4190","49.88",,,"236250","0.88","500","0.24"
"214390","경보제약 ","14050","-100","-0.71","401","35.04",,,"3176","4.42","300","2.14"
"012610","경인양행 ","3455","-25","-0.72","255","13.55",,,"4593","0.75","50","1.45"
"009140","경인전자 ","20500","0","0.00",,,,,"36589","0.56","350","1.71"
"013580","계룡건설 ","8990","-240","-2.60",,,,,"28753","0.31","0","0.00"
"012200","계양전기 ","4650","10","0.22","191","24.35",,,"4498","1.03","45","0.97"
"012205","계양전기우 ","3220","-60","-1.83",,,,,,,"50","1.55"
"004200","고려개발 ","4500","0","0.00",,,,,"2846","1.58","0","0.00"
"002140","고려산업 ","1835","0","0.00","375","4.89",,,"3033","0.61","45","2.45"
"010130","고려아연 ","446500","-7500","-1.65","28362","15.74",,,"245570","1.82","6500","1.46"
"002240","고려제강 ","39950","-550","-1.36","16590","2.41",,,"92274","0.43","350","0.88"
"009810","고려포리머 ","1195","-10","-0.83",,,,,"843","1.42","0","0.00"
"001290","골든브릿지증권 ","1105","45","4.25",,,,,"2212","0.50","0","0.00"
"009290","광동제약 ","11000","-150","-1.35","869","12.66",,,"5967","1.84","80","0.73"
"017040","광명전기 ","2005","-15","-0.74","192","10.44",,,"1638","1.22","0","0.00"
"017900","광전자 ","2300","-35","-1.50",,,,,"3833","0.60","0","0.00"
"037710","광주신세계 ","243500","2500","1.04","26397","9.22",,,"280391","0.87","1250","0.51"
"192530","광주은행 ","7920","100","1.28","313","25.30",,,"22229","0.36","0","0.00"
"030610","교보증권 ","9470","870","10.12","858","11.04",,,"17073","0.55","100","1.06"
"007690","국도화학 ","59900","1200","2.04","3495","17.14",,,"63683","0.94","1000","1.67"
"005320","국동 ","12150","500","4.29","2011","6.04",,,"6099","1.99","0","0.00"
"001140","국보 ","16600","-100","-0.60",,,,,"21983","0.76","50","0.30"
"002720","국제약품 ","4290","75","1.78",,,,,"3201","1.34","10","0.23"
"014530","극동유화 ","35750","200","0.56","2667","13.40",,,"34319","1.04","700","1.96"
"014280","금강공업 ","32750","-1000","-2.96","4164","7.87",,,"45639","0.72","400","1.22"
"014285","금강공업우 ","28300","300","1.07",,,,,,,"450","1.59"
"008870","금비 ","62900","300","0.48","6049","10.40",,,"84444","0.74","1500","2.38"
"001570","금양 ","2290","90","4.09",,,,,"1110","2.06","60","2.62"
"002990","금호산업 ","11000","350","3.29","3341","3.29",,,"8770","1.25","0","0.00"
"002995","금호산업우 ","19700","200","1.03",,,,,,,"0","0.00"
"011780","금호석유 ","61500","200","0.33","3557","17.29",,,"46561","1.32","1500","2.44"
"011785","금호석유우 ","29850","-50","-0.17",,,,,,,"1550","5.19"
"214330","금호에이치티 ","9840","-110","-1.11","1428","6.89",,,"6728","1.46","75","0.76"
"001210","금호전기 ","12500","-50","-0.40",,,,,"24735","0.51","0","0.00"
"073240","금호타이어 ","7810","130","1.69","860","9.08",,,"7652","1.02","0","0.00"
"092440","기신정기 ","5680","-130","-2.24","619","9.18",,,"500","11.36","100","1.76"
"000270","기아차 ","46100","-1000","-2.12","7393","6.24",,,"55466","0.83","1000","2.17"
"024110","기업은행 ","11650","-150","-1.27","1539","7.57",,,"23898","0.49","430","3.69"
"013700","까뮤이앤씨 ","11900","-150","-1.24","506","23.52",,,"7906","1.51","150","1.26"
"004540","깨끗한나라 ","5020","0","0.00","92","54.57",,,"5515","0.91","0","0.00"
