종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"095570","AJ네트웍스 ","36450","-300","-0.82","2391","15.24",,,"28067","1.30","0","0.00"
"068400","AJ렌터카 ","10450","-150","-1.42","791","13.21",,,"10172","1.03","0","0.00"
"006840","AK홀딩스 ","66300","-200","-0.30",,,,,"42342","1.57","500","0.75"
"027410","BGF리테일 ","199500","-10000","-4.77","6239","31.98",,,"31211","6.39","1200","0.60"
"138930","BNK금융지주 ","8810","-190","-2.11","1890","4.66",,,"22104","0.40","150","1.70"
"001460","BYC ","480000","1000","0.21","20803","23.07",,,"450114","1.07","850","0.18"
"001465","BYC우 ","200000","2000","1.01",,,,,,,"900","0.45"
"001040","CJ ","200500","-6500","-3.14","7242","27.69",,,"114710","1.75","1350","0.67"
"079160","CJ CGV ","91700","1200","1.33","2455","37.35",,,"19899","4.61","350","0.38"
"000120","CJ대한통운 ","200500","-9500","-4.52","2636","76.06",,,"101842","1.97","0","0.00"
"011150","CJ씨푸드 ","3355","-75","-2.19","71","47.25",,,"1384","2.42","0","0.00"
"011155","CJ씨푸드1우 ","14150","-50","-0.35",,,,,,,"0","0.00"
"001045","CJ우 ","91600","-2800","-2.97",,,,,,,"1400","1.53"
"097950","CJ제일제당 ","393500","1000","0.25","13401","29.36",,,"216981","1.81","2500","0.64"
"097955","CJ제일제당 우 ","203000","-4500","-2.17",,,,,,,"2550","1.26"
"037560","CJ헬로비전 ","9230","-170","-1.81","772","11.96",,,"12282","0.75","75","0.81"
"000590","CS홀딩스 ","77500","100","0.13","18834","4.11",,,"177390","0.44","0","0.00"
"139130","DGB금융지주 ","9010","0","0.00","1759","5.12",,,"20624","0.44","280","3.11"
"004840","DRB동일 ","14450","200","1.40","2377","6.08",,,"16422","0.88","60","0.42"
"155660","DSR ","4635","-65","-1.38","621","7.46",,,"7546","0.61","50","1.08"
"069730","DSR제강 ","4145","60","1.47","685","6.05",,,"8199","0.51","40","0.97"
"017940","E1 ","64600","500","0.78","1725","37.45",,,"167698","0.39","2600","4.02"
"007700","F&F ","14650","300","2.09","808","18.13",,,"12964","1.13","200","1.37"
"114090","GKL ","26050","500","1.96","1483","17.57",,,"7376","3.53","831","3.19"
"078930","GS ","48100","50","0.10","5198","9.25",,,"66746","0.72","1500","3.12"
"006360","GS건설 ","28700","200","0.70","363","79.06",,,"46258","0.62","0","0.00"
"001250","GS글로벌 ","2455","-10","-0.41",,,,,"6368","0.39","0","0.00"
"007070","GS리테일 ","50400","-2600","-4.91","2133","23.63",,,"23281","2.16","850","1.69"
"078935","GS우 ","32850","-50","-0.15",,,,,,,"1550","4.72"
"001500","HMC투자증권 ","10750","100","0.94","1716","6.26",,,"24542","0.44","450","4.19"
"003560","IHQ ","2150","-40","-1.83","39","55.13",,,"1489","1.44","0","0.00"
"175330","JB금융지주 ","5970","70","1.19","881","6.78",,,"13767","0.43","50","0.84"
"001060","JW중외제약 ","57800","600","1.05","120","481.67",,,"12687","4.56","150","0.26"
"001067","JW중외제약2우B ","38600","150","0.39",,,,,,,"150","0.39"
"001065","JW중외제약우 ","28600","450","1.60",,,,,,,"175","0.61"
"096760","JW홀딩스 ","11850","500","4.41","2","5925.00",,,"1865","6.35","45","0.38"
"105560","KB금융 ","35200","-600","-1.68","4396","8.01",,,"74234","0.47","980","2.78"
"002550","KB손해보험 ","28400","200","0.71","3117","9.11",,,"34678","0.82","400","1.41"
"002380","KCC ","394500","-9000","-2.23","18730","21.06",,,"554909","0.71","9000","2.28"
"009070","KCTC ","3145","-5","-0.16","296","10.63",,,"5678","0.55","35","1.11"
"009440","KC그린홀딩스 ","8250","80","0.98","615","13.41",,,"6859","1.20","80","0.97"
"119650","KC코트렐 ","5590","-60","-1.06",,,,,"5122","1.09","0","0.00"
