종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2390","5","0.21",,,,,"704","3.39","0","0.00"
"095570","AJ네트웍스 ","4800","40","0.84","320","15.00",,,"6168","0.78","86","1.79"
"068400","AJ렌터카 ","11500","200","1.77","572","20.10",,,"11091","1.04","0","0.00"
"006840","AK홀딩스 ","50900","600","1.19","7727","6.59",,,"52954","0.96","650","1.28"
"054620","APS홀딩스 ","4290","-35","-0.81","46508","0.09",,,"13639","0.31","0","0.00"
"265520","AP시스템 ","27800","1300","4.91","1395","19.93",,,"5856","4.75","0","0.00"
"211270","AP위성 ","6960","30","0.43","5","1392.00",,,"5465","1.27","0","0.00"
"027410","BGF ","8180","110","1.36","74964","0.11",,,"21952","0.37","200","2.44"
"282330","BGF리테일 ","218500","1000","0.46","1619","134.96",,,"22486","9.72","1000","0.46"
"138930","BNK금융지주 ","6680","40","0.60","1200","5.57",,,"21653","0.31","230","3.44"
"001460","BYC ","247500","-2500","-1.00","7414","33.38",,,"475434","0.52","850","0.34"
"001465","BYC우 ","120000","-2000","-1.64",,,,,,,"900","0.75"
"001040","CJ ","124500","3000","2.47","15357","8.11",,,"117874","1.06","1450","1.16"
"079160","CJ CGV ","43400","800","1.88",,,,,"14554","2.98","350","0.81"
"035760","CJ ENM ","233000","6100","2.69","21705","10.73",,,"165443","1.41","3000","1.29"
"000120","CJ대한통운 ","165500","4000","2.48","1786","92.67",,,"103964","1.59","0","0.00"
"011150","CJ씨푸드 ","2215","-30","-1.34","127","17.44",,,"1662","1.33","0","0.00"
"011155","CJ씨푸드1우 ","28250","-100","-0.35",,,,,,,"0","0.00"
"001045","CJ우 ","57700","1400","2.49",,,,,,,"1500","2.60"
"097950","CJ제일제당 ","323000","1000","0.31","26179","12.34",,,"232686","1.39","3000","0.93"
"097955","CJ제일제당 우 ","135500","500","0.37",,,,,,,"3050","2.25"
"051500","CJ프레시웨이 ","33200","-100","-0.30",,,,,"15181","2.19","200","0.60"
"037560","CJ헬로 ","9260","-40","-0.43","373","24.83",,,"12746","0.73","75","0.81"
"058820","CMG제약 ","4570","90","2.01",,,,,"929","4.92","0","0.00"
"023460","CNH ","1355","0","0.00","81","16.73",,,"2752","0.49","20","1.48"
"065770","CS ","2245","30","1.35","53","42.36",,,"1003","2.24","0","0.00"
"083660","CSA 코스믹 ","4170","0","0.00",,,,,"1199","3.48","0","0.00"
"000590","CS홀딩스 ","62000","-300","-0.48","5138","12.07",,,"187283","0.33","500","0.81"
"012030","DB ","858","18","2.14",,,,,"735","1.17","0","0.00"
"306620","DB금융스팩6호 ","2025","0","0.00",,,,,,,"0","0.00"
"016610","DB금융투자 ","4815","105","2.23","107","45.00",,,"14360","0.34","100","2.08"
"005830","DB손해보험 ","68700","-1100","-1.58","10445","6.58",,,"65368","1.05","2300","3.35"
"000990","DB하이텍 ","12500","-50","-0.40","2546","4.91",,,"10240","1.22","250","2.00"
"000995","DB하이텍1우 ","35250","-800","-2.22",,,,,,,"300","0.85"
"139130","DGB금융지주 ","8170","-120","-1.45","1787","4.57",,,"23088","0.35","340","4.16"
"068790","DMS ","5400","-30","-0.55","171","31.58",,,"5892","0.92","50","0.93"
"004840","DRB동일 ","6380","-30","-0.47","934","6.83",,,"16974","0.38","100","1.57"
"241520","DSC인베스트먼트 ","4300","35","0.82","125","34.40",,,"1382","3.11","0","0.00"
"155660","DSR ","4595","135","3.03","692","6.64",,,"8721","0.53","50","1.09"
"069730","DSR제강 ","4990","195","4.07","348","14.34",,,"9032","0.55","40","0.80"
"017940","E1 ","64500","200","0.31","14600","4.42",,,"171187","0.38","2000","3.10"
"245620","EDGC ","6500","170","2.69",,,,,"384","16.93","0","0.00"
"037370","EG ","12350","0","0.00",,,,,"6764","1.83","50","0.40"
"079190","EMW ","2780","0","0.00",,,,,"1728","1.61","0","0.00"
"007700","F&F ","80600","4100","5.36","4863","16.57",,,"19218","4.19","650","0.81"
"130500","GH신소재 ","2780","-80","-2.80","233","11.93",,,"4255","0.65","90","3.24"
"114090","GKL ","22650","450","2.03","1302","17.40",,,"8602","2.63","730","3.22"
"032860","GMR 머티리얼즈 ","561","7","1.26","4","140.25",,,"404","1.39","0","0.00"
"078930","GS ","52800","200","0.38","10416","5.07",,,"81628","0.65","1800","3.41"
"083450","GST ","6370","130","2.08","1719","3.71",,,"7937","0.80","100","1.57"
"006360","GS건설 ","42600","1650","4.03",,,,,"44190","0.96","300","0.70"
"001250","GS글로벌 ","2555","55","2.20","257","9.94",,,"4452","0.57","25","0.98"
"007070","GS리테일 ","39150","-350","-0.89","1535","25.50",,,"26369","1.48","600","1.53"
"078935","GS우 ","36750","0","0.00",,,,,,,"1850","5.03"
"028150","GS홈쇼핑 ","178900","2300","1.30","16677","10.73",,,"162004","1.10","6500","3.63"
"045890","GV ","4735","5","0.11",,,,,"1702","2.78","0","0.00"
