종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S ","2000","-35","-1.72",,,,,"846","2.36","0","0.00"
"095570","AJ네트웍스 ","6950","0","0.00","288","24.13",,,"5980","1.16","60","0.86"
"068400","AJ렌터카 ","10100","0","0.00","362","27.90",,,"10537","0.96","0","0.00"
"006840","AK홀딩스 ","71700","300","0.42","5585","12.84",,,"46834","1.53","550","0.77"
"054620","APS홀딩스 ","11300","100","0.89","1749","6.46",,,"10544","1.07","0","0.00"
"265520","AP시스템 ","44050","-150","-0.34",,,,,,,"0","0.00"
"211270","AP위성 ","8750","270","3.18","473","18.50",,,"5373","1.63","0","0.00"
"027410","BGF리테일 ","92400","-1200","-1.28","3704","24.95",,,"18649","4.95","800","0.87"
"138930","BNK금융지주 ","11300","450","4.15","1522","7.42",,,"20810","0.54","230","2.04"
"001460","BYC ","356500","-3500","-0.97","27784","12.83",,,"468849","0.76","800","0.22"
"001465","BYC우 ","175500","1500","0.86",,,,,,,"850","0.48"
"032040","C&S자산관리 ","1975","10","0.51",,,,,"1306","1.51","0","0.00"
"001040","CJ ","194000","-3000","-1.52","7837","24.75",,,"118834","1.63","1350","0.70"
"079160","CJ CGV ","69300","-1500","-2.12","583","118.87",,,"17654","3.93","350","0.51"
"130960","CJ E&M ","74700","-200","-0.27","1611","46.37",,,"39922","1.87","200","0.27"
"000120","CJ대한통운 ","186500","2500","1.36","3166","58.91",,,"102843","1.81","0","0.00"
"011150","CJ씨푸드 ","3245","-20","-0.61","149","21.78",,,"1530","2.12","0","0.00"
"011155","CJ씨푸드1우 ","26050","-50","-0.19",,,,,,,"0","0.00"
"035760","CJ오쇼핑 ","199000","7000","3.65","3886","51.21",,,"147596","1.35","2500","1.26"
"001045","CJ우 ","86600","-700","-0.80",,,,,,,"1400","1.62"
"097950","CJ제일제당 ","370000","2500","0.68","19522","18.95",,,"235302","1.57","2500","0.68"
"097955","CJ제일제당 우 ","168500","0","0.00",,,,,,,"2550","1.51"
"051500","CJ프레시웨이 ","42000","-800","-1.87",,,,,"16021","2.62","200","0.48"
"037560","CJ헬로비전 ","8710","-140","-1.58","278","31.33",,,"12482","0.70","75","0.86"
"058820","CMG제약 ","3745","130","3.60","19","197.11",,,"930","4.03","0","0.00"
"023460","CNH ","1600","15","0.95","90","17.78",,,"2604","0.61","25","1.56"
"065770","CS ","1665","-45","-2.63",,,,,"1047","1.59","0","0.00"
"083660","CSA 코스믹 ","4450","-175","-3.78",,,,,"1641","2.71","0","0.00"
"000590","CS홀딩스 ","90100","100","0.11","8045","11.20",,,"185295","0.49","500","0.55"
"139130","DGB금융지주 ","11950","350","3.02","1702","7.02",,,"21773","0.55","300","2.51"
"068790","DMS ","9850","230","2.39","1610","6.12",,,"5833","1.69","50","0.51"
"004840","DRB동일 ","9530","-90","-0.94","2155","4.42",,,"17513","0.54","80","0.84"
"241520","DSC인베스트먼트 ","5280","-230","-4.17","78","67.69",,,"915","5.77","0","0.00"
"155660","DSR ","6390","-250","-3.77","672","9.51",,,"8252","0.77","50","0.78"
"069730","DSR제강 ","6220","-280","-4.31","603","10.32",,,"8780","0.71","40","0.64"
"017940","E1 ","61200","-700","-1.13",,,,,"161644","0.38","2000","3.27"
"037370","EG ","7200","-90","-1.23","116","62.07",,,"7013","1.03","50","0.69"
"079190","EMW ","2485","0","0.00","81","30.68",,,"1593","1.56","0","0.00"
"007700","F&F ","28050","350","1.26","1963","14.29",,,"14721","1.91","350","1.25"
"130500","GH신소재 ","3530","-5","-0.14","302","11.69",,,"3775","0.94","90","2.55"
"114090","GKL ","22950","-500","-2.13","1849","12.41",,,"8386","2.74","1000","4.36"
"032860","GMR 머티리얼즈 ","626","-1","-0.16",,,,,"372","1.68","0","0.00"
"078930","GS ","75400","1500","2.03","8509","8.86",,,"73540","1.03","1600","2.12"
"083450","GST ","8700","90","1.05","458","19.00",,,"6191","1.41","0","0.00"
"006360","GS건설 ","31850","-550","-1.70",,,,,"46180","0.69","0","0.00"
"001250","GS글로벌 ","3100","-15","-0.48","290","10.69",,,"3787","0.82","0","0.00"
"007070","GS리테일 ","48400","-150","-0.31","3562","13.59",,,"25842","1.87","1100","2.27"
"078935","GS우 ","44750","-50","-0.11",,,,,,,"1650","3.69"
"028150","GS홈쇼핑 ","235500","700","0.30","17195","13.70",,,"148522","1.59","7000","2.97"
"078150","HB테크놀러지 ","4695","-35","-0.74","388","12.10",,,"1575","2.98","30","0.64"
"036640","HRS ","4220","-20","-0.47","243","17.37",,,"4571","0.92","80","1.90"
"225430","IBKS제3호스팩 ","2050","0","0.00","2","1025.00",,,"1880","1.09","0","0.00"
"254120","IBKS제5호스팩 ","2030","0","0.00",,,,,"1867","1.09","0","0.00"
"264850","IBKS제6호스팩 ","2005","0","0.00",,,,,,,"0","0.00"
"252500","IBKS지엠비스팩 ","2250","50","2.27",,,,,"1938","1.16","0","0.00"
"003560","IHQ ","2090","10","0.48","31","67.42",,,"1533","1.36","0","0.00"
"095340","ISC ","25650","150","0.59","724","35.43",,,"11077","2.32","170","0.66"
"099520","ITX엠투엠 ","1505","-55","-3.53",,,,,"1016","1.48","0","0.00"
"175330","JB금융지주 ","6930","300","4.52","918","7.55",,,"14663","0.47","50","0.72"
"234080","JW생명과학 ","37250","-350","-0.93","1915","19.45",,,"11406","3.27","600","1.61"
"067290","JW신약 ","7520","-70","-0.92",,,,,"989","7.60","60","0.80"
"001060","JW중외제약 ","47200","-950","-1.97",,,,,"13073","3.61","250","0.53"
"001067","JW중외제약2우B ","37150","-300","-0.80",,,,,,,"250","0.67"
"001065","JW중외제약우 ","24400","-100","-0.41",,,,,,,"275","1.13"
"096760","JW홀딩스 ","8970","10","0.11",,,,,"1912","4.69","75","0.84"
"035900","JYP Ent. ","7100","-10","-0.14","268","26.49",,,"1952","3.64","0","0.00"
"105560","KB금융 ","59400","800","1.37","5588","10.63",,,"74138","0.80","1250","2.10"
"024120","KB오토시스 ","6870","50","0.73","1241","5.54",,,"6665","1.03","300","4.37"
"002380","KCC ","436500","1500","0.34","15491","28.18",,,"564197","0.77","9000","2.06"
"021320","KCC건설 ","10800","0","0.00","778","13.88",,,"14493","0.75","100","0.93"
"036670","KCI ","7650","10","0.13","617","12.40",,,"4168","1.84","180","2.35"
"009070","KCTC ","3090","-5","-0.16","272","11.36",,,"5896","0.52","35","1.13"
"009440","KC그린홀딩스 ","6190","10","0.16","211","29.34",,,"7044","0.88","100","1.62"
"119650","KC코트렐 ","5140","-150","-2.84","77","66.75",,,"5305","0.97","40","0.78"
"044180","KD건설 ","187","-3","-1.58","2","93.50",,,"156","1.20","0","0.00"
"092220","KEC ","966","-9","-0.92","4","241.50",,,"2215","0.44","0","0.00"
