종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"108675","LG하우시스우 ","55100","-100","-0.18",,,,,,,"1850","3.36"
"051910","LG화학 ","226500","500","0.22","15674","14.45",,,"175798","1.29","4500","1.99"
"051915","LG화학우 ","164500","2000","1.23",,,,,,,"4550","2.77"
"079550","LIG넥스원 ","75400","-1600","-2.08","4044","18.64",,,"26231","2.87","940","1.25"
"006260","LS ","60900","-1100","-1.77",,,,,"71509","0.85","1250","2.05"
"000680","LS네트웍스 ","3115","15","0.48",,,,,"8753","0.36","0","0.00"
"010120","LS산전 ","38900","-100","-0.26","2397","16.23",,,"33775","1.15","1000","2.57"
"023150","MH에탄올 ","7780","10","0.13","1063","7.32",,,"7845","0.99","250","3.21"
"035420","NAVER ","798000","-3000","-0.37","17619","45.29",,,"64452","12.38","1100","0.14"
"181710","NHN엔터테인먼트 ","46750","-250","-0.53","8969","5.21",,,"72935","0.64","0","0.00"
"005940","NH투자증권 ","9830","-140","-1.40","719","13.67",,,"15127","0.65","400","4.07"
"005945","NH투자증권우 ","7040","10","0.14",,,,,,,"450","6.39"
"034310","NICE ","16550","-150","-0.90","787","21.03",,,"12414","1.33","120","0.73"
"008260","NI스틸 ","2900","-35","-1.19","250","11.60",,,"2757","1.05","50","1.72"
"004250","NPC ","6210","-50","-0.80","596","10.42",,,"4960","1.25","75","1.21"
"004255","NPC우 ","2890","5","0.17",,,,,,,"80","2.77"
"010060","OCI ","73600","-1500","-2.00","4206","17.50",,,"123914","0.59","0","0.00"
"005490","POSCO ","249500","-2500","-0.99","1845","135.23",,,"472954","0.53","8000","3.21"
"100840","S&TC ","18000","150","0.84","3815","4.72",,,"32662","0.55","500","2.78"
"064960","S&T모티브 ","41950","850","2.07","6034","6.95",,,"45130","0.93","1000","2.38"
"003570","S&T중공업 ","9080","170","1.91","1077","8.43",,,"20866","0.44","200","2.20"
"036530","S&T홀딩스 ","15700","50","0.32","2141","7.33",,,"38286","0.41","250","1.59"
"010950","S-Oil ","84000","-1600","-1.87","5422","15.49",,,"46224","1.82","2400","2.86"
"010955","S-Oil우 ","55700","-200","-0.36",,,,,,,"2425","4.35"
"034120","SBS ","23600","-300","-1.26","1929","12.23",,,"31127","0.76","750","3.18"
"101060","SBS미디어홀딩스 ","2625","-20","-0.76","161","16.30",,,"4857","0.54","25","0.95"
"004060","SG세계물산 ","1105","-10","-0.90","7","157.86",,,"1000","1.11","0","0.00"
"001380","SG충방 ","3015","-85","-2.74",,,,,"2829","1.07","0","0.00"
"002360","SH에너지화학 ","1510","5","0.33","113","13.36",,,"807","1.87","44","2.91"
"009160","SIMPAC ","4375","65","1.51","608","7.20",,,"7977","0.55","120","2.74"
"123700","SJM ","5960","-20","-0.33","1517","3.93",,,"9596","0.62","200","3.36"
"025530","SJM홀딩스 ","5270","-10","-0.19","878","6.00",,,"8787","0.60","200","3.80"
"034730","SK ","231500","-2000","-0.86","107921","2.15",,,"177177","1.31","3400","1.47"
"011790","SKC ","30300","-550","-1.78","7488","4.05",,,"39240","0.77","750","2.48"
"018670","SK가스 ","110000","-3500","-3.08","8130","13.53",,,"137478","0.80","2000","1.82"
"001740","SK네트웍스 ","6800","-120","-1.73","296","22.97",,,"10180","0.67","100","1.47"
"001745","SK네트웍스우 ","50400","-2300","-4.36",,,,,,,"125","0.25"
"210980","SK디앤디 ","46250","1050","2.32","2194","21.08",,,"16582","2.79","400","0.86"
"03473K","SK우 ","138500","-1500","-1.07",,,,,,,"3450","2.49"
"096770","SK이노베이션 ","152500","-4000","-2.56","8744","17.44",,,"169556","0.90","4800","3.15"
"096775","SK이노베이션우 ","90300","100","0.11",,,,,,,"4850","5.37"
"001510","SK증권 ","1020","5","0.49","73","13.97",,,"1270","0.80","0","0.00"
"001515","SK증권우 ","1595","-30","-1.85",,,,,,,"0","0.00"
"006120","SK케미칼 ","61700","-1000","-1.59","2708","22.78",,,"55218","1.12","300","0.49"
"006125","SK케미칼우 ","26100","300","1.16",,,,,,,"350","1.34"
"017670","SK텔레콤 ","226000","2500","1.12","20988","10.77",,,"188878","1.20","10000","4.42"
"000660","SK하이닉스 ","42900","500","1.18","6002","7.15",,,"29377","1.46","500","1.17"
"005610","SPC삼립 ","165000","-2000","-1.20","4488","36.76",,,"29430","5.61","869","0.53"
"011810","STX ","3155","65","2.10",,,,,"2421","1.30","0","0.00"
"077970","STX엔진 ","6730","-30","-0.44","1839","3.66",,,"4451","1.51","0","0.00"
"071970","STX중공업 ","1520","-35","-2.25",,,,,"4111","0.37","0","0.00"
"084870","TBH글로벌 ","8030","260","3.35",,,,,"10737","0.75","0","0.00"
"002710","TCC동양 ","2495","-65","-2.54",,,,,"3833","0.65","0","0.00"
"024070","WISCOM ","4205","-25","-0.59","186","22.61",,,"7847","0.54","150","3.57"
"037270","YG PLUS ","1965","-15","-0.76",,,,,"1792","1.10","0","0.00"
"000500","가온전선 ","21950","50","0.23","513","42.79",,,"62877","0.35","600","2.73"
"000860","강남제비스코 ","36300","-200","-0.55","6192","5.86",,,"66914","0.54","500","1.38"
"035250","강원랜드 ","35650","-1500","-4.04","2178","16.37",,,"14011","2.54","980","2.75"
"011420","갤럭시아에스엠 ","1805","20","1.12","85","21.24",,,"1805","1.00","0","0.00"
"002100","경농 ","5820","250","4.49","380","15.32",,,"7668","0.76","240","4.12"
"012320","경동가스 ","69000","-600","-0.86",,,,,"153385","0.45","1250","1.81"
"009450","경동나비엔 ","48050","250","0.52","1316","36.51",,,"16004","3.00","100","0.21"
"000050","경방 ","17600","-450","-2.49","609","28.90",,,"24183","0.73","125","0.71"
"214390","경보제약 ","13000","250","1.96","1147","11.33",,,"5137","2.53","275","2.12"
"012610","경인양행 ","4340","-80","-1.81","48","90.42",,,"4621","0.94","50","1.15"
"009140","경인전자 ","21850","-50","-0.23","974","22.43",,,"37957","0.58","350","1.60"
"013580","계룡건설 ","14300","-200","-1.38","1831","7.81",,,"30797","0.46","0","0.00"
"012200","계양전기 ","4945","-20","-0.40","282","17.54",,,"4719","1.05","55","1.11"
"012205","계양전기우 ","3925","-35","-0.88",,,,,,,"60","1.53"
"004200","고려개발 ","6460","-20","-0.31",,,,,,,"0","0.00"
"002140","고려산업 ","6120","-130","-2.08","233","26.27",,,"3088","1.98","30","0.49"
"010130","고려아연 ","472000","-13000","-2.68","28820","16.38",,,"269065","1.75","8500","1.80"
"002240","고려제강 ","41800","-1450","-3.35","1024","40.82",,,"76101","0.55","350","0.84"
"009810","고려포리머 ","938","21","2.29","53","17.70",,,"964","0.97","0","0.00"
"001290","골든브릿지증권 ","907","-9","-0.98","52","17.44",,,"2240","0.40","0","0.00"
"009290","광동제약 ","8300","100","1.22","868","9.56",,,"6676","1.24","80","0.96"
"017040","광명전기 ","2895","5","0.17","148","19.56",,,"1792","1.62","0","0.00"
"017900","광전자 ","2095","15","0.72",,,,,"3514","0.60","0","0.00"
"037710","광주신세계 ","240500","-4500","-1.84","28688","8.38",,,"307113","0.78","1250","0.52"
"192530","광주은행 ","10300","150","1.48","1026","10.04",,,"26963","0.38","200","1.94"
"030610","교보증권 ","9090","60","0.66","2276","3.99",,,"19058","0.48","150","1.65"
"007690","국도화학 ","54400","900","1.68","9618","5.66",,,"72495","0.75","1500","2.76"
"005320","국동 ","8200","-220","-2.61","1168","7.02",,,"6649","1.23","0","0.00"
"001140","국보 ","22150","-250","-1.12",,,,,"17909","1.24","50","0.23"
"002720","국제약품 ","4650","-10","-0.21",,,,,"4110","1.13","0","0.00"
"014530","극동유화 ","3015","-15","-0.50","416","7.25",,,"3743","0.81","100","3.32"
"014280","금강공업 ","40700","-1350","-3.21","1214","33.53",,,"45520","0.89","400","0.98"
