종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"068400","AJ렌터카 ","11950","-250","-2.05","910","13.13",,,"7647","1.56","0","0.00"
"006840","AK홀딩스 ","26350","50","0.19","22933","1.15",,,"33073","0.80","150","0.57"
"138930","BS금융지주 ","14500","250","1.75","1869","7.76",,,"16833","0.86","330","2.28"
"001460","BYC ","218500","0","0.00","39163","5.58",,,"396687","0.55","850","0.39"
"001465","BYC우 ","71800","500","0.70",,,,,,,"900","1.25"
"001040","CJ ","144500","-2000","-1.37","7801","18.52",,,"101632","1.42","650","0.45"
"079160","CJ CGV ","56300","-1300","-2.26","2626","21.44",,,"16762","3.36","350","0.62"
"000120","CJ대한통운 ","106000","-500","-0.47","4763","22.25",,,"100335","1.06","0","0.00"
"011150","CJ씨푸드 ","3010","-35","-1.15","158","19.05",,,"1080","2.79","0","0.00"
"011155","CJ씨푸드1우 ","5610","90","1.63",,,,,,,"0","0.00"
"001045","CJ우 ","39100","0","0.00",,,,,,,"700","1.79"
"097950","CJ제일제당 ","326000","4000","1.24","18369","17.75",,,"206383","1.58","1800","0.55"
"097955","CJ제일제당 우 ","82000","1200","1.49",,,,,,,"1850","2.26"
"037560","CJ헬로비전 ","17150","-250","-1.44","1491","11.50",,,"9354","1.83","0","0.00"
"000590","CS홀딩스 ","35900","-1900","-5.03","5708","6.29",,,"146972","0.24","0","0.00"
"139130","DGB금융지주 ","15400","-150","-0.96","2039","7.55",,,"18823","0.82","330","2.14"
"004840","DRB동일 ","8080","230","2.93","1555","5.20",,,"12043","0.67","40","0.50"
"069730","DSR제강 ","3045","0","0.00","86","35.41",,,"6964","0.44","30","0.99"
"017940","E1 ","81100","1300","1.63","15096","5.37",,,"154916","0.52","1600","1.97"
"007700","F&F ","7210","240","3.44","526","13.71",,,"11083","0.65","100","1.39"
"114090","GKL ","34200","-550","-1.58","2328","14.69",,,"5358","6.38","1217","3.56"
"078930","GS ","54400","1800","3.42","5217","10.43",,,"66978","0.81","1350","2.48"
"006360","GS건설 ","30250","950","3.24","2063","14.66",,,"72576","0.42","250","0.83"
"001250","GS글로벌 ","11100","250","2.30","906","12.25",,,"10444","1.06","125","1.13"
"007070","GS리테일 ","29550","750","2.60","1603","18.43",,,"19798","1.49","400","1.35"
"078935","GS우 ","24900","0","0.00",,,,,,,"1400","5.62"
"035000","GⅡR ","8520","20","0.24","758","11.24",,,"6815","1.25","200","2.35"
"001500","HMC투자증권 ","12300","250","2.07","1255","9.80",,,"22706","0.54","150","1.22"
"011420","IB월드와이드 ","1790","-50","-2.72","19","94.21",,,"1247","1.44","0","0.00"
"003560","IHQ ","2695","-5","-0.19","109","24.72",,,"842","3.20","0","0.00"
"005560","JS전선 ","9750","-30","-0.31","1040","9.38",,,"11471","0.85","300","3.08"
"001060","JW중외제약 ","18400","-450","-2.39",,,,,"14131","1.30","125","0.68"
"001067","JW중외제약2우B ","16350","-250","-1.51",,,,,,,"125","0.76"
"001065","JW중외제약우 ","12800","0","0.00",,,,,,,"150","1.17"
"096760","JW홀딩스 ","2530","75","3.05",,,,,"1580","1.60","25","0.99"
"105560","KB금융 ","36000","850","2.42","4408","8.17",,,"63438","0.57","600","1.67"
"002380","KCC ","327000","-7500","-2.24","45384","7.21",,,"468604","0.70","8000","2.45"
"009070","KCTC ","18200","350","1.96",,,,,"48172","0.38","250","1.37"
"009440","KC그린홀딩스 ","8880","750","9.23","1057","8.40",,,"5875","1.51","70","0.79"
"119650","KC코트렐 ","14350","-50","-0.35","1638","8.76",,,"7313","1.96","470","3.28"
"092220","KEC ","251","-44","-14.92",,,,,"781","0.32","0","0.00"
"109070","KGP ","1905","20","1.06",,,,,"3238","0.59","0","0.00"
"001390","KG케미칼 ","17050","700","4.28","746","22.86",,,"16723","1.02","150","0.88"
"001940","KISCO홀딩스 ","45450","-1250","-2.68","9923","4.58",,,"175031","0.26","900","1.98"
"083420","KPX그린케미칼 ","5340","70","1.33","585","9.13",,,"4928","1.08","150","2.81"
"025000","KPX케미칼 ","61900","1600","2.65","7603","8.14",,,"68667","0.90","3000","4.85"
"092230","KPX홀딩스 ","43450","650","1.52","4410","9.85",,,"123023","0.35","2550","5.87"
"025850","KPX화인케미칼 ","20700","250","1.22",,,,,"33703","0.61","0","0.00"
"044450","KSS해운 ","9600","190","2.02","1154","8.32",,,"11811","0.81","90","0.94"
"030200","KT ","36050","0","0.00","4341","8.30",,,"47141","0.76","2000","5.55"
"033780","KT&G ","79300","200","0.25","5869","13.51",,,"37081","2.14","3200","4.04"
"030210","KTB투자증권 ","3740","60","1.63","138","27.10",,,"6702","0.56","0","0.00"
"058850","KTcs ","3280","25","0.77","423","7.75",,,"2685","1.22","100","3.05"
"003550","LG ","65600","-300","-0.46","5294","12.39",,,"64357","1.02","1000","1.52"
"034220","LG디스플레이 ","29950","-100","-0.33","652","45.94",,,"28534","1.05","0","0.00"
"001120","LG상사 ","35500","750","2.16","5735","6.19",,,"37894","0.94","500","1.41"
"068870","LG생명과학 ","54900","-2200","-3.85","507","108.28",,,"15028","3.65","0","0.00"
"068875","LG생명과학우 ","23700","-50","-0.21",,,,,,,"0","0.00"
"051900","LG생활건강 ","619000","4000","0.65","18126","34.15",,,"67816","9.13","3750","0.61"
"051905","LG생활건강우 ","183000","2500","1.39",,,,,,,"3800","2.08"
"003555","LG우 ","25250","250","1.00",,,,,,,"1050","4.16"
"032640","LG유플러스 ","10400","570","5.80",,,,,"8582","1.21","0","0.00"
"011070","LG이노텍 ","89000","600","0.68",,,,,"62876","1.42","0","0.00"
"066570","LG전자 ","88100","-400","-0.45","366","240.71",,,"68872","1.28","200","0.23"
"066575","LG전자우 ","27350","150","0.55",,,,,,,"250","0.91"
"093050","LG패션 ","31550","-950","-2.92","2076","15.20",,,"29701","1.06","400","1.27"
"108670","LG하우시스 ","98500","800","0.82","2898","33.99",,,"72100","1.37","1000","1.02"
"108675","LG하우시스우 ","30200","850","2.90",,,,,,,"1050","3.48"
"051910","LG화학 ","260000","9500","3.79","20318","12.80",,,"143834","1.81","4000","1.54"
"051915","LG화학우 ","96200","500","0.52",,,,,,,"4050","4.21"
"002550","LIG손해보험 ","22650","450","2.03","4089","5.54",,,"21960","1.03","800","3.53"
"006260","LS ","81000","1500","1.89","6128","13.22",,,"72222","1.12","1250","1.54"
"000680","LS네트웍스 ","4760","-95","-1.96","249","19.12",,,"10165","0.47","50","1.05"
"000685","LS네트웍스우 ","24350","-150","-0.61",,,,,,,"100","0.41"
"000687","LS네트웍스전환상환2우B ","4940","155","3.24",,,,,,,"175","3.54"
"010120","LS산전 ","62200","900","1.47","3421","18.18",,,"27810","2.24","1000","1.61"
